Model,Line Sort,Last Status,Line Type,Chassis Check In Status,Chassis Model,VIN,Final Destination,Capacity,Exit Factory Date,Current Exit Factory,Chassis Check In Date,Original SO,File Source,Model First 5 Chars,Related Order Number,Exit Factory Date Year & Week,Exit Factory Year,Exit Factory Week,Rear Loader 2512,Rear Loader (PKRRLSB),Manual Side Loader (PKRML),DC REFUSE STOCK
PKRRLXCCTCPQ,1,525,HFL,Checked-In,Rear Loader,1M2GR2GC6TM054735,WCNX - PENN WASTE - 6356,2513,2026-04-10,2026-04-10,2026-02-11,5340822,F4211,PKRRL,03397066,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,520,,0,Front Loader,BODY ONLY,PASA (PROMOTORA AMBIENTAL),4029,2026-04-17,2026-04-17,null,5343861,F4211,PKRFL,03399042,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,520,,0,Front Loader,BODY ONLY,PASA (PROMOTORA AMBIENTAL),4029,2026-04-17,2026-04-17,null,5343861,F4211,PKRFL,03399050,2026 - 16,2026,16,0,0,0,0
PKRRLHDCTCPQ,1,530,HFL,Checked-In,Rear Loader,1FVHCYFE2THWV6089,WCNX DBA J & J SANITATION,2511,2026-04-03,2026-04-03,2026-01-12,5343885,F4211,PKRRL,03399056,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCPQ,1,530,HFL,Checked-In,Rear Loader,3ALHCYFE0SDVX4091,FIREMATIC HEAVY DUTY,2816,2026-04-03,2026-04-03,2025-04-02,5344556,F4211,PKRRL,03399450,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCPQ,1,530,HFL,Checked-In,Rear Loader,3ALHCYFE6SDVX4094,FIREMATIC HEAVY DUTY,2816,2026-04-03,2026-04-03,2025-01-15,5344556,F4211,PKRRL,03399455,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCPQ,1,530,HFL,Checked-In,Rear Loader,3ALHCYFEXSDVX4096,FIREMATIC HEAVY DUTY,2816,2026-04-03,2026-04-03,2025-01-13,5344556,F4211,PKRRL,03399460,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCPQ,1,530,HFL,Checked-In,Rear Loader,3ALHCYFE3SDVX4098,FIREMATIC HEAVY DUTY,2816,2026-04-03,2026-04-03,2025-01-14,5344556,F4211,PKRRL,03399465,2026 - 14,2026,14,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,015146,WCNX NORTHERN ILLINOIS DISPOSAL,4029,2026-04-17,2026-04-17,null,5345172,F4211,PKRFL,03399823,2026 - 16,2026,16,0,0,0,0
PKRRLXCCPQ,1,530,HFL,Checked-In,Rear Loader,3ALHCYFE2SDVZ9056,CITY OF ST PETERS,2813,2026-04-03,2026-04-03,2024-11-15,5345320,F4211,PKRRL,03399881,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1M2LR2GCXTM013068,RWS TEXAS LEASING COMPANY LLC 9079,2448,2026-04-10,2026-04-10,2026-02-17,5346889,F4211,PKRAL,03400937,2026 - 15,2026,15,0,0,0,0
